isin,name,ticker,source
BMG8726T1053,Teekay,TK,openfigi
BMG8726X1065,Teekay Tankers,TNK,openfigi
BMG889121031,Tiziana Life Sciences,TLSA,openfigi
BMG9001E1021,Liberty Latin America,LILA,openfigi
BMG9001E1286,"Liberty Latin America Ltd. Registered Shares C DL-,01",LILAK,openfigi
BMG9618E1075,White Mountains Insurance Group,WTM,openfigi
BSP736841136,OneSpaWorld,OSW,openfigi
CA00089N1033,ADF Group,DRX,openfigi
CA0010921058,AGF Management,AGFMF,openfigi
CA0011811068,Ag Growth International,AGGZF,openfigi
CA00135V1094,AI Artificial Intelligence Ventures,AIVC,openfigi
CA00208D4084,ARC Resources,ARX,openfigi
CA00217Y1043,ATS,ATS,openfigi
CA00289A1093,Aben Gold Corp. Registered Shares o.N.,ABM,openfigi
CA0074082060,Aduro Clean Technologies,ACT,openfigi
CA00762V1094,Aecon Group,ARE,openfigi
CA0076361033,Aequus Pharmaceuticals,AQSZF,openfigi
CA00810E2087,Aether Global Innovations Corp Registered Shares New o.N.,AETH,openfigi
CA00900Q1037,Aimia,AIM,openfigi
CA0091204036,AirIQ,IQ,openfigi
CA00927V2003,AirBoss of America,BOS,openfigi
CA0156441077,Algoma Central Corporation,ALC,openfigi
CA0156581070,Algoma Steel Group,ASTL,openfigi
CA0158571053,Algonquin Power & Utilities,AQN,openfigi
CA01643B1067,Alithya Group,ALYAF,openfigi
CA01863P2070,Alliance Mining,ALM,openfigi
CA01921D2041,Allied Gold Corp. Registered Shares New o.N.,AAUC,openfigi
CA0203987072,Almonty Industries,ALI1.DE,openfigi
CA0211551068,Alset AI Ventures,GPUS,openfigi
CA02137W2004,Altair Resources,AVX,openfigi
CA0249441001,American Critical Minerals,KCLI,openfigi
CA0272592092,American Lithium,LI,openfigi
CA0307361026,AmeriTrust Financial Technologies,AMT,openfigi
CA03114B1022,Amex Exploration,AMX,openfigi
CA03421C1086,Andina Copper Corp. Registered Shares o.N.,ANDC,openfigi
CA03444Q1000,Andrew Peller,ADWPF,openfigi
CA03464C2058,Anfield Energy Inc. Registered Shares o.N.,AEC,openfigi
CA03783P1018,Appia Rare Earth & Uranium,API,openfigi
CA03835T4081,Aptose Biosciences Inc. Reg.Shs JAN 2025 o.N.,APTOF,openfigi
CA03880B1040,Arbor Metals,ABR,openfigi
CA04016E2024,Argentina Lithium,LIT,openfigi
CA04016J1021,Argo Gold,ARQ,openfigi
CA04035D1024,Arianne Phosphate,DAN,openfigi
CA04040Y1097,Aris Mining Corporation,ARIS,openfigi
CA0422791099,Armory Mining Corp. Registered Shares o.N.,ARMY,openfigi
CA0467894006,ATCO,ACLLF,openfigi
CA04964G1000,Atrium Mortgage Investment,AI,openfigi
CA05156F1071,Aurion Resources,AU,openfigi
CA05156V1022,Aurinia Pharmaceuticals,AUPH,openfigi
CA05156X8504,Aurora Cannabis,ACB,openfigi
CA05157F1062,Auric Minerals,AUMC,openfigi
CA05207J1084,Aurora Solar Technologies,ACU,openfigi
CA0521041065,Auscan Resources,AHELF,openfigi
CA05223F1062,Austin Gold Corp. Registered Shares o.N.,AUST,openfigi
CA05335P1099,Auxly Cannabis Group,XLY,openfigi
CA05337L3048,Avalon Advanced Materials,AVL,openfigi
CA05353D2023,Avant Brands,AVNT,openfigi
CA0539061030,Avino Silver & Gold Mines,ASM,openfigi
CA05461V2012,AXMIN,AXMIF,openfigi
CA05475P1099,Ayr Wellness,AYRWF,openfigi
CA05534B7604,BCE,BCE,openfigi
CA0556402059,BQE Water,BTQNF,openfigi
CA05577W2004,BRP,DOO,openfigi
CA0558691014,BTQ Technologies,BTQ,openfigi
CA0641491075,Bank of Nova Scotia,BNS,openfigi
CA06766T1075,Barksdale Resources,BRO,openfigi
CA0717051076,Bausch + Lomb,BLCO,openfigi
CA07309M2031,Bayridge Resources Corp. Registered Shares o.N.,BYRG,openfigi
CA07317Q1054,Baytex Energy,BTE,openfigi
CA0805581091,Belo Sun Mining,BSXGF,openfigi
CA08345Q2080,Benz Mining,BZ,openfigi
CA08772P2026,Betterlife Pharma,BETRF,openfigi
CA0886691066,Beyond Oil,BOIL,openfigi
CA0898041086,BIGG Digital Assets,BIGG,openfigi
CA0906971035,Birchcliff Energy,BIREF,openfigi
CA09075M1023,Biome Grow,BIO,openfigi
CA09076J2074,BioHarvest Sciences,BHST,openfigi
CA09088U1093,Birks Group,BGI,openfigi
CA0909741062,BioNxt Solutions,BXT.DE,openfigi
CA09226M2094,Black Swan Graphene Inc. Registered Shares New o.N.,SWAN,openfigi
CA09261Q1072,Blackrock Silver,BRC,openfigi
CA09369M1077,Blockchaink2,BITK,openfigi
CA0976924047,Bolt Metals Corp. Registered Shares o.N.,BOLT,openfigi
CA0977518616,Bombardier,BBDC,openfigi
CA0977518798,Bombardier,BDRAF,openfigi
CA09852X7018,Bonterra Resources,BTR,openfigi
CA0994031072,Boosh Plant-Based Brands,VEGI,openfigi
CA09950M3003,Boralex,BLX,openfigi
CA1048333068,Bragg Gaming,BRAG,openfigi
CA11222U1021,Brompton Energy Split Corp. Registered Shares A o.N.,ESP,openfigi
CA11271J1075,Brookfield Corporation,BN,openfigi
CA11276H1064,Brookfield Infrastructure Corp Reg.Exch.Subord.Vot.Shs.A,BIPC,openfigi
CA11285B1085,Brookfield Renewable Corp. Reg.Shares Cl.A Sub.Vot. o.N.,BEPC,openfigi
CA11777Q2099,B2Gold,BTO,openfigi
CA1247651088,CAE,CAE,openfigi
CA1249003098,CCL Industries,CCDBF,openfigi
CA1266321084,CVR Medical,CRRVF,openfigi
CA1348011091,Canaccord Genuity,CF,openfigi
CA1348281025,Canada Carbon,CCB,openfigi
CA1350861060,Canada Goose,GOOS,openfigi
CA13515Q1037,Canada Nickel Company,CNC,openfigi
CA1358702027,Canadian GoldCamps,CAMP,openfigi
CA1363751027,Canadian National Railway,CNR,openfigi
CA1368421014,Canagold Resources,CCM,openfigi
CA13709C1005,CanAlaska Uranium,CVV,openfigi
